state,district,dem_margin,incumbent_party
NY,03,-4.28,D
NY,04,1.28,D
NY,05,42.16,D
NY,06,6.41,D
NY,07,45.89,D
NY,08,43.98,D
NY,09,40.61,D
NY,10,60.44,D
NY,11,-24.37,R
NY,12,63.6,D
NY,13,59.28,D
NY,14,31.75,D
NY,15,48.26,D
NY,16,33.11,D
NY,17,0.56,R
NY,18,3.33,D
NY,19,1.78,D
NY,20,14.15,D
NY,21,-20.65,R
NY,22,7.65,D
NY,23,-21.01,R
NY,24,-23.09,R
NY,25,18.44,D
NY,26,19.27,D
OH,01,6.34,D
OH,02,-47.58,R
OH,03,40.24,D
OH,04,-36.76,R
OH,05,-29.26,R
OH,06,-33.66,R
OH,07,-10.64,R
OH,08,-23.69,R
OH,09,-6.71,D
OH,10,-5.74,R
OH,11,55.07,D
OH,12,-32.73,R
OH,13,0.05,D
OH,14,-17.94,R
OH,15,-9.19,R
OK,01,-21.53,R
OK,02,-55.62,R
OK,03,-45.54,R
OK,04,-33.24,R
OK,05,-17.72,R
OR,01,37.79,D
OR,02,-27.14,R
OR,03,45.98,D
OR,04,12.06,D
OR,05,8.54,D
OR,06,11.38,D
PA,01,0.32,R
PA,02,35.74,D
PA,03,77.32,D
PA,04,15.8,D
PA,05,28.63,D
PA,06,11.41,D
PA,07,-3.2,R
PA,08,-8.5,R
PA,09,-37.94,R
PA,10,-5.23,R
PA,11,-21.36,R
PA,12,19.19,D
PA,13,-45.54,R
PA,14,-33.36,R
PA,15,-37.96,R
PA,16,-22.77,R
PA,17,5.5,D
RI,01,22.16,D
RI,02,6.79,D
SC,01,-13.01,R
SC,02,-13.91,R
SC,03,-43.06,R
SC,04,-23.58,R
SC,05,-22.77,R
SC,06,22.68,D
SC,07,-26.34,R
SD,AL,-29.19,R
TN,01,-57.84,R
TN,02,-33.86,R
TN,03,-35.88,R
TN,04,-43.58,R
TN,05,-17.77,R
TN,06,-35.21,R
TN,07,-22.29,R
TN,08,-41.13,R
TN,09,43.4,D
TX,01,-51.28,R
TX,02,-23.78,R
TX,03,-20.07,R
TX,04,-32.59,R
TX,05,-27.08,R
TX,06,-28.54,R
TX,07,20.77,D
TX,08,-33.88,R
TX,09,44.11,D
TX,10,-24.83,R
TX,11,-45.46,R
TX,12,-22.6,R
TX,13,-47.79,R
TX,14,-34.05,R
TX,15,-17.85,R
TX,16,16.01,D
TX,17,-29.24,R
TX,18,39.81,D
TX,19,-51.69,R
TX,20,21.27,D
TX,21,-23.64,R
TX,22,-19.54,R
TX,23,-15.53,R
TX,24,-15.53,R
TX,25,-36.34,R
TX,26,-23.44,R
TX,27,-29.67,R
TX,28,-7.29,D
TX,29,20.4,D
TX,30,46.97,D
TX,31,-23.27,R
TX,32,23.75,D
TX,33,33.77,D
TX,34,-4.43,D
TX,35,33.64,D
TX,36,-36.78,R
TX,37,49.34,D
TX,38,-20.7,R
UT,01,-20.04,R
UT,02,-20.32,R
UT,03,-19.31,R
UT,04,-26.68,R
VA,01,-4.94,R
VA,02,-0.25,R
VA,03,34.67,D
VA,04,32.7,D
VA,05,-12.28,R
VA,06,-23.88,R
VA,07,2.86,D
VA,08,49.75,D
VA,09,-44.06,R
VA,10,8.36,D
VA,11,34.29,D
VT,AL,31.77,D
WA,01,28.69,D
WA,02,23.67,D
WA,03,-3.3,D
WA,04,-20.67,R
WA,05,-10.79,R
WA,06,19.27,D
WA,07,74.99,D
WA,08,5.78,D
WA,09,41.21,D
WA,10,18.0,D
WI,01,-4.51,R
WI,02,40.15,D
WI,03,-7.4,R
WI,04,51.55,D
WI,05,-22.15,R
WI,06,-16.48,R
WI,07,-22.5,R
WI,08,-16.26,R
WV,01,-44.36,R
WV,02,-39.6,R
WY,AL,-46.22,R
