cycle,state,district,dem_pct,rep_pct,dem_margin,winner
2022,CA,23,38.97,61.03,-22.05,R
2022,CA,22,48.48,51.52,-3.05,R
2022,CA,21,54.18,45.82,8.36,D
2022,CA,19,68.65,31.35,37.3,D
2022,CA,18,65.85,34.15,31.71,D
2022,CA,15,55.46,0.0,100.0,D
2022,PA,11,38.45,61.55,-23.09,R
2022,PA,6,58.31,41.69,16.63,D
2022,IN,4,31.78,68.22,-36.43,R
2022,PA,17,53.39,46.61,6.78,D
2022,PA,14,0.0,100.0,-100.0,R
2022,PA,13,0.0,100.0,-100.0,R
2022,PA,12,56.2,43.8,12.39,D
2022,TX,5,33.93,63.97,-30.68,R
2022,TX,10,34.3,63.3,-29.72,R
2022,TX,14,29.84,70.16,-40.32,R
2022,TX,13,24.65,75.35,-50.71,R
2022,TX,11,0.0,100.0,-100.0,R
2022,MO,3,34.89,65.11,-30.22,R
2022,MT,2,20.16,56.56,-47.44,R
2022,LA,6,0.0,80.4,-100.0,R
2022,TX,8,30.54,68.07,-38.05,R
2022,TX,15,44.83,53.31,-8.64,R
2022,TX,1,21.92,78.08,-56.16,R
2022,TX,2,34.09,65.91,-31.83,R
2022,TX,4,30.93,66.71,-36.65,R
2022,TX,9,76.68,23.32,53.35,D
2022,TX,27,35.56,64.44,-28.89,R
2022,TX,31,0.0,100.0,-100.0,R
2022,TX,23,38.77,55.87,-18.07,R
2022,TX,29,71.41,28.59,42.81,D
2022,TX,37,76.76,20.97,57.09,D
2022,NY,17,46.76,44.05,2.98,R
2022,MO,7,26.79,70.88,-45.15,R
2022,MO,8,21.9,75.99,-55.26,R
2022,TX,17,33.52,66.48,-32.97,R
2022,TX,26,0.0,69.29,-100.0,R
2022,MO,5,61.02,36.44,25.23,D
2022,MO,6,27.48,70.32,-43.8,R
2022,MO,2,43.05,54.89,-12.09,R
2022,MO,1,72.86,24.33,49.93,D
2022,MA,7,84.58,15.11,69.68,D
2022,IL,4,68.42,28.07,41.81,D
2022,IL,2,67.13,32.87,34.26,D
2022,IL,1,67.03,32.96,34.07,D
2022,NV,4,52.42,47.58,4.83,D
2022,NV,3,51.98,48.02,3.97,D
2022,NC,13,51.59,48.41,3.19,D
2022,NC,12,62.75,37.25,25.49,D
2022,NC,11,44.51,53.79,-9.44,R
2022,NC,8,30.09,69.91,-39.82,R
2022,NC,5,36.85,63.15,-26.31,R
2022,FL,26,29.13,70.87,-41.75,R
2022,FL,25,55.09,44.91,10.19,D
2022,FL,19,31.99,68.0,-36.01,R
2022,FL,13,45.05,53.14,-8.23,R
2022,FL,12,29.62,70.37,-40.75,R
2022,FL,1,32.14,67.86,-35.72,R
2022,AZ,9,0.0,97.77,-100.0,R
2022,MI,12,70.84,26.26,45.91,D
2022,MI,10,48.31,48.8,-0.51,R
2022,MI,9,33.17,63.9,-31.66,R
2022,MI,8,52.4,42.27,10.7,D
2022,MI,2,34.3,63.68,-29.99,R
2022,AL,7,63.54,34.76,29.28,D
2022,AL,6,0.0,83.73,-100.0,R
2022,KS,2,42.36,57.64,-15.28,R
2022,GA,13,81.77,18.23,63.55,D
2022,GA,6,37.78,62.22,-24.44,R
2022,GA,3,31.25,68.75,-37.5,R
2022,AR,2,35.26,60.04,-26.01,R
2022,AR,1,26.2,73.8,-47.6,R
2022,TX,38,35.52,62.95,-27.86,R
2022,TX,16,63.46,36.54,26.93,D
2022,TX,34,52.73,44.23,8.77,D
2022,TX,19,0.0,80.3,-100.0,R
2022,TX,18,70.72,26.2,45.94,D
2022,TX,22,35.51,62.19,-27.31,R
2022,TX,35,72.58,27.42,45.15,D
2022,TX,36,30.54,69.46,-38.92,R
2022,TX,24,40.25,59.75,-19.5,R
2022,CT,2,58.22,40.17,18.34,D
2022,IL,8,56.89,43.11,13.78,D
2022,IL,9,71.69,28.31,43.39,D
2022,IL,11,56.45,43.55,12.91,D
2022,IL,15,28.86,71.14,-42.29,R
2022,IL,16,33.67,66.33,-32.66,R
2022,IL,17,51.98,48.01,3.97,D
2022,OK,5,37.4,59.0,-22.4,R
2022,SC,5,34.46,64.01,-30.01,R
2022,SC,6,62.04,37.85,24.21,D
2022,MN,4,67.59,32.26,35.38,D
2022,MN,6,37.79,61.97,-24.23,R
2022,WI,1,45.14,54.05,-8.98,R
2022,WI,6,0.0,94.93,-100.0,R
2022,UT,2,34.01,59.71,-27.42,R
2022,UT,3,29.53,64.4,-37.12,R
2022,UT,4,32.35,61.05,-30.73,R
2022,NJ,5,54.73,44.32,10.51,D
2022,WA,1,63.48,36.39,27.12,D
2022,WA,2,60.07,39.75,20.35,D
2022,WA,4,31.2,66.46,-36.1,R
2022,WA,5,40.25,59.51,-19.31,R
