state,dem_margin
AL,-20.44
AK,-13.35
AR,-33.0
CO,9.52
DE,22.1
GA,1.2
ID,-30.55
IL,17.06
IA,-6.8
KS,-12.0
KY,-20.42
LA,-51.47
ME,-9.21
MA,33.47
MI,1.73
MN,5.74
MS,-10.18
MT,-10.0
NE,-43.97
NH,16.07
NJ,16.62
NM,6.27
NC,-1.88
OK,-31.45
OR,18.3
RI,33.2
SC,-10.44
SD,-31.4
TN,-27.72
TX,-9.86
VA,12.11
WV,-44.5
WY,-46.2
FL,-16.57
OH,-6.11
